,Algorithm,Instance,Total Cost,Running Time,Type,Small-ratio,Medium-ratio,Large-ratio,Number of Customers,Number of Clusters,Region
356,AVNS,SBY_nc_30_ncl_3_nv_60_generated_r_0.60_0.20_0.20_1,3.0,2.0,Generated,0.6,0.2,0.2,30,3,SBY
357,AVNS,SBY_nc_30_ncl_3_nv_60_generated_r_0.60_0.20_0.20_2,3.0,9.0,Generated,0.6,0.2,0.2,30,3,SBY
358,AVNS,SBY_nc_30_ncl_3_nv_60_historical_0,4.0,8.0,Historical,,,,30,3,SBY
359,AVNS,SBY_nc_30_ncl_3_nv_60_historical_1,5.0,6.0,Historical,,,,30,3,SBY
360,AVNS,SBY_nc_30_ncl_3_nv_60_historical_2,4.0,6.0,Historical,,,,30,3,SBY
361,AVNS,SBY_nc_30_ncl_5_nv_60_generated_r_0.20_0.20_0.60_0,4.0,2.0,Generated,0.2,0.2,0.6,30,5,SBY
362,AVNS,SBY_nc_30_ncl_5_nv_60_generated_r_0.20_0.20_0.60_1,3.0,7.0,Generated,0.2,0.2,0.6,30,5,SBY
363,AVNS,SBY_nc_30_ncl_5_nv_60_generated_r_0.20_0.20_0.60_2,3.0,7.0,Generated,0.2,0.2,0.6,30,5,SBY
364,AVNS,SBY_nc_30_ncl_5_nv_60_generated_r_0.20_0.60_0.20_0,4.0,6.0,Generated,0.2,0.6,0.2,30,5,SBY
365,AVNS,SBY_nc_30_ncl_5_nv_60_generated_r_0.20_0.60_0.20_1,4.0,7.0,Generated,0.2,0.6,0.2,30,5,SBY
366,AVNS,SBY_nc_30_ncl_5_nv_60_generated_r_0.20_0.60_0.20_2,4.0,5.0,Generated,0.2,0.6,0.2,30,5,SBY
367,AVNS,SBY_nc_30_ncl_5_nv_60_generated_r_0.33_0.33_0.33_0,5.0,1.0,Generated,0.33,0.33,0.33,30,5,SBY
368,AVNS,SBY_nc_30_ncl_5_nv_60_generated_r_0.33_0.33_0.33_1,6.0,0.0,Generated,0.33,0.33,0.33,30,5,SBY
369,AVNS,SBY_nc_30_ncl_5_nv_60_generated_r_0.33_0.33_0.33_2,5.0,3.0,Generated,0.33,0.33,0.33,30,5,SBY
370,AVNS,SBY_nc_30_ncl_5_nv_60_generated_r_0.60_0.20_0.20_0,4.0,4.0,Generated,0.6,0.2,0.2,30,5,SBY
371,AVNS,SBY_nc_30_ncl_5_nv_60_generated_r_0.60_0.20_0.20_1,3.0,2.0,Generated,0.6,0.2,0.2,30,5,SBY
372,AVNS,SBY_nc_30_ncl_5_nv_60_generated_r_0.60_0.20_0.20_2,3.0,7.0,Generated,0.6,0.2,0.2,30,5,SBY
373,AVNS,SBY_nc_30_ncl_5_nv_60_historical_0,4.0,7.0,Historical,,,,30,5,SBY
374,AVNS,SBY_nc_30_ncl_5_nv_60_historical_1,5.0,5.0,Historical,,,,30,5,SBY
375,AVNS,SBY_nc_30_ncl_5_nv_60_historical_2,5.0,6.0,Historical,,,,30,5,SBY
376,AVNS,SBY_nc_48_ncl_3_nv_100_generated_r_0.20_0.20_0.60_0,7.0,3.0,Generated,0.2,0.2,0.6,50,3,SBY
